	标点
毫无创意	无创意
躐级	强过
鲦	鱼
看护人	人 职位 照料
老油条	人 狡
研究院所	场所 研究 知识
保教	事务 照料 人 少儿
收银机	用具 计数 货币
细细	细心
全日本航空公司	场所 日本 专 从事 事务 运送 飞行器
低智	愚
万分之一	少
融化	态变 液
还愿	实现 语文 约定
还愿	实现 语文 约定 拟人
枪孔	痕 军 射击 武器
本地治里	地方 市 印度 专
糨子	材料 黏 拴连 定住
服务	照料
服务	从事
得来速	场所 商业 特定牌子 吃
豚	牲畜
范文	语文 实例
侥幸得免	躲避 好运
桧	树
软拷贝	文书 抄写 印刷 否
椒盐炸排条	食品 烹调
料	质量 人
料	材料
料	物质 喂 兽
料	预料
名厨	人 著名 烹调
泌尿器官	部件 脏 动物 排泄 排泄物 液态
任意性	公正性 群体 人 不公正
叫真儿	慎
无线	性能值 无 材料 线 传送 电
诈骗者	人 有罪 骗
采油	制造 材料
财帛	钱财
作罢	停做
不能应用	庸 利用
隔	相距
隔	分离
蠵	鱼
熟路	道路 熟悉
水彩画家	人 艺 画
董事局	机构 管理
勒住	终止他移
卢比	货币 印度
屏息	停做 呼吸
劲减	减少 经济 快 价格
炸花枝丸	食品 烹调
泛蓝联盟	团体 台湾 政 专
歌舞团	团体 艺 表演 表演物
越南战争	事情 争斗 越南 美国 军 专
家世	血统 家庭
大彻大悟	领会 极
观念形态	思想
林业	事务 栽植 树 农
ＧＰＳ	设施 决定 位置
明文	清晰
房室	房间
访	调查
访	看望
跋文	部件 尾 书刊 语文
佛殿	房间 宗教
初产妇	人 女 生殖
当红	著名
呈览	交
傣	族群 中国
断根	无 人 家庭 小辈
断根	医治 达成 疾病 医
断根	经受 医治 达成
龙凤呈祥	发达
承尘	用具 遮盖 装饰
地痞	人 卑劣 暴 有罪
茶树	树 生殖 部件 饮品 毛 树
劳苦功高	有功劳
细辛	材料 药物
模糊不清	浑
自雇人士	人 职位 经济 雇用 人 己
改判	改变 结果 裁定 警
开盘价格	价格 证券 人工物 开始
加尔维斯顿	地方 市 美国 专
相似处	异同 内容 似
宦途	感受 担任 职位 官
扒拉	搬动
马来西亚	与特定国家相关 马来西亚
马来西亚	地方 国家 亚洲 政 专
蒙学	场所 教育 私 学习 教
盐卤	化学物 食物 咸
男童	人 少儿 男
港务长	人 官
金牌得主	人 获胜 比赛
雨过天晴	好天
庄重	神气
唯我独尊	傲
女子监狱	场所 警 扣住 人 女 有罪 处罚 人 女 有罪
恶水	地方 穷
伊朗首都	地方 国都 伊朗 专
数不上	不重要
公路	道路
处在...的手中	处于
刷洗工	人 职位 擦拭
替身	人 代替
民德	举止 群体 人
在...上画一个点	画
灭迹	消灭 信息 证明 事情 有罪
取	取回
取	选择
取	谋取
取	取
始祖	人 祖先
中央研究院	场所 专 研究 知识
谄上欺下	损害
果胞	部件 脏 怀孕 生殖 植物 女
老伯伯	人 家庭 直系 男 长辈
老夫	人 我
捕捉镜头	寻 时间 适宜 拍摄
敕封	赐 皇
美国首都	地方 国都 美国 专
尚待	需求
合度	当
北冰洋	水域 专 面
海区	水域 面
石子	土石
赏鉴	分辨 文
兵连祸结	境况值 遭受 劫难
蓉	地方 市 中国 专
推问	审问
生恐	害怕
百分之百	基数
百分之百	纯
夙嫌	情感 仇恨 过去
科学社会主义	制度
俨然	功能词
俨然	齐
重载	装载
玛	文字 中国
怪异	怪
政治评论员	人 评估 事务 地方 国家 政 政
战争叫嚣	吓唬 力量 军 军队
撞见	会面
撞见	会面 偶发
均势	境况 组织 对立
竹雕	图像 体 雕刻
汶	水域 中国 专 线
塞外	地方 中国 专
轮到	代替
日见	渐进 时间 日
呗	功能词 语助
半神半人	拟人
征求	谋取
生产关系	亲疏 群体 人 制造
财力	力量 群体 人 钱财
磁头	部件 机器 读 记录
费事	费力
费事	花费 力量
着笔	写
挂念	着急
假果	部件 胚 植物
表亲	辈分 人
表亲	人 家庭 同辈 旁系
竞销	较量 经济 卖
昏睡病	疾病 愿意 睡
相聚	集聚
腾贵	增多 经济 快 价格
充实性	充实性 内容
愚忠	情感 忠孝
爱管闲事	举止值 喜欢 捣乱
独到之处	创造性 内容 人
纟	文字 中国
拉丁语	语言 专
拨电话	扭转 启动 用具 交流 距离值 长
救苦救难	救助 劫难
误听	误信
实质性	真
盗取	偷
丰盛	多
社会民主党	团体 政 专
企业法人	团体 经济
一心只读圣贤书	学习 书刊 经典 专注
翻砂	制造
评书	表演物
回头看	看 后
门把手	部件 手 器具 开关 拿
终归	功能词 原因
终归	时间特性值 末
颤悠	摆动
ＭＰ３播放机	用具 展示 音乐
脸皮厚	没羞
反潜艇	能 攻打 船
精准	精确
版式	样式 书刊
禧	生活状况 人 幸福
验血	查 部件 体液 红 动物 医
做法	方法
解体	坏掉
解体	灭亡
愤愤不平	不满
石碑	用具 雕刻 致敬
殢	遭受 扣住 警
规模经济	事务 农 经济 工 泛
谨附上	词语 表示 告诉 经受 纳入
淫雨	雨雪 多
加氢裂化	事情 制造 材料 液态 焚烧 化学
太平洋	水域 专 面
唱响主旋律	唱 音质 音乐 主 高声
闾丘	姓
活脱脱	相像 极
大规模	泛
工行	场所 中国 金融 专 留存 货币 取回 货币 借入 货币
施与	赐
蛘	虫
竹马	用具 娱乐
剩下	存在 剩余
补角	图像 数学 角
改革家	人 改良
开低价	提出 价格 贱 经济
极值	多少 数学 实体
不落俗套	有创意
子虚	伪
篆	样式 文字
篆	用具 印刷 按压
介质	物质 连接
放牛娃	人 农 少儿 喂 牲畜
掩体	设施 军 保护
潺湲	流 慢
立方厘米	单位 体积
原始品牌生产商	场所 工 制造
倒头就睡	躺卧 睡
蚍蜉撼大树	无用
耳力	能力 动物 听
钥匙	用具 打开 关闭
勃然	感情特性值 激动
寄语	语文 问候
寄语	传送 信息
自投罗网	遭受 捉住 军 警
衣冠	衣物
波斯菊	花草
挟制	控制 暴 有罪
一鳞半爪	无生物 缺
磺酸	化学物
痛斥	谴责 强
散架	坏掉
副伤寒	疾病
纽约大学	场所 美国 教育 高等 专 学习 教
牲口	牲畜
同化阶段	部件 过程 变性态 似 医
通俗唱法	举止 唱
鹾	材料 食品 咸
鹾	咸
糖霜	材料 食物 甜
审验	查
亦好亦坏	中等
霉	微生物 出现 坏掉
煮饺	食品
代词	部件 语言
抵抗力	能力 医 生物 免除 遭受 传染
溜门撬锁	进入 非法
嫉贤妒能	妒忌 人 能
原始设备生产商	场所 工 制造
贿赂案	事情 收受 人工物 赠 有罪 勾引
把所有的鸡蛋放在一个篮子里	冒险
管区	地方 控制 管理
无本之木	树 无 部件 根 植物
起吊	提升
脑动脉瘤	疾病 部件 部件 头 动物
暗色	颜色 物质 暗
65	基数
下一个	将来
下一个	无生物 它
眼珠子	部件 部件 眼 动物
兜捕	捉住 包围
建议案	语文 辩论 商讨 提出
透个信儿	揭露
加油	卖力
加油	喂 材料 液态 焚烧
加油	润滑
加油	促使
早夭	死 时间 人 少儿
到案	出现 机构 警 裁定
上皮组织	部件 皮 动物
刮脸	化妆 切削 部件 毛 人
蒜	部件 胚 蔬菜 吃
蒜	蔬菜
溪岸	陆地 靠近 水域
空心菜	部件 毛 蔬菜 吃
空心菜	蔬菜
犯罪成因	道理 从事 事情 有罪
台南酸菜炒大肠	食品 烹调
盆地	陆地 凹 面
禁品	人工物 运送 有罪
筋骨	体格 人
申说	说明
司务长	人 军队 官 争斗 军
横冲直闯	前进
烹饪学	知识 事情 烹调
炸桂鱼	食品 烹调
住宿生	人 住下 教育 场所 教育 学习 教
黄铜矿	土石 矿
赅博	有学问
伪劣商品	人工物 伪 劣质
近景	景象 无生物
建筑工人	人 职位 建造
卫道	保护 道德 正统
醉意	感受 昏迷 喝 饮品 嗜好
自我了断	自杀
发花	病态 看
出洋相	遭受 辱
江段	部件 支 水域 线
3级风	风 弱
探索者	人 调查
根苗	人 后裔
根苗	部件 根 实体
根苗	部件 身 植物
游山逛水	旅游
独立谋生	谋生 己
交验	交 查
石版	用具 印刷
字符打印机	用具 电脑 印刷
比方说	功能词
凯尔特人	人 地方 专
装腔作势	矫揉造作
杂拌儿	食品 多种
令人瞠目	能 促使 惊奇
服役期	时间 纳入 军队 军
毛糙	粗心
毛糙	糙
毛糙	陋
人人自危	处于 人 全 境况 群体 人 危
疯草病	疾病 牲畜
领唱者	人 艺 引导 唱
入住率	比率 场所 房屋 占领
手舞足蹈	喜悦
船龄	年龄 船
夏末	时间 夏 晚期
非分	莽
兴学	建立 场所 教育 学习 教
研究会	团体 情感 喜欢 特定 知识 特定
研究会	团体 知识
双簧管	乐器
颞颥	部件 骨 部件 头 动物
孔丘	人 中国 文 专 编辑 书刊
查体	查 健康 医
计有	总计
建设部	部件 机构 中国 政 归属中央 官 管理 管理 事务 建造
活动	变空间位置
活动	能 自移
活动	行动
活动	自动
活动	勾引
活动	锻炼
活动	事情 行动
活动	不稳
校风	举止 场所 教育 学习 教
十分	极
铁板鸡丁	食品 烹调
房产证	文书 房屋
蠊	虫
尿分析	事情 分析 排泄物 液态 医
不愧	无愧
不愧	无愧 是
说破嘴	说 费力
除夕晚会	事情 娱乐 中国
媟	贬低
质询	问
搜救行动	事情 寻 救助
豪华型	豪华
车本	文书 示同意 驾驭 车 自动
黑金	人工物 赠 有罪 勾引
放宽心	安心
脾气坏	坏脾气
过日子	谋生
猛兽	走兽
气质	举止 人
气质	质量 人
秀雅	雅
独粒宝石	材料 珍宝
自那以后	将来
水样	实例 水
咀	咀嚼
实惠	利 状况 实体 事件
实惠	充实
颅骨	部件 骨 部件 头 动物
韭	部件 毛 蔬菜 吃
韭	蔬菜
国军	军队 中国 专
粗疏	粗心
淋巴结炎	疾病 发炎
弄得	使动
一百	基数
当班	承担
腺瘤	疾病
遥	远
打千	致敬
顺遂	成为 好运
铟	金属 化学
磁通计	用具 测量 多少 物理 物质 越过
抑	制止
梗塞	堵塞
梗塞	疾病
间不容发	危 很
潜江市	地方 市 中国 专
褯	文字 中国
可改正	能 改正
双翼机	飞行器
反火力	事情 射击 军
看足球赛	看 事情 比赛 足球 体育
绘制	画
纵虎归山	释放 走兽
抚恤金	酬金 补偿 死 残疾
洑	现象 转动 液
叉车	车 拾起 运送
桁架	部件 骨 建筑物
鸡蛋沙律	食品 烹调
浮石	土石
寸步难移	无能
氨基	化学物
百折不挠地	坚决
堵挡	拦住
晕晕忽忽	昏迷
建筑	建筑物
建筑	建造
白胖	胖 白
危地马拉人	人 危地马拉
弄皱	揉弄 皱
